PROVINCENAME,M,REGION,,PROVINCE,BARANGAY,MUNICIPALITY,CATEGORY,MSP NAME,REMARKS
TARLAC,"MAGNUS BUSINESS SOLUTIONS, INC",CLZ,,ABRA,,,MSP,GALLOPVISION SERVICES INC,
PAMPANGA,"MAGNUS BUSINESS SOLUTIONS, INC",CLZ,,APAYAO,,,MSP,GALLOPVISION SERVICES INC,
ZAMBALES,PROBUS VENTURES INC. (PVI),CLZ,,BENGUET,,,MSP,GALLOPVISION SERVICES INC,
BATAAN,PROBUS VENTURES INC. (PVI),CLZ,,IFUGAO,,,MSP,GALLOPVISION SERVICES INC,
BULACAN,MS CONVERGENCE CORPORATION,CLZ,,KALINGA,,,MSP,GALLOPVISION SERVICES INC,
AURORA,"INTERLINK CABLE TELEVISION, INC.",CLZ,,MOUNTAIN PROVINCE,,,MSP,GALLOPVISION SERVICES INC,
BATANGAS,AMBTEL CORPORATION,SLZ,,ILOCOS NORTE,,,MSP,GALLOPVISION SERVICES INC,
LAGUNA,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),SLZ,,ILOCOS SUR,,,MSP,GALLOPVISION SERVICES INC,
QUEZON,CONVERA BUSINESS MANAGEMENT SERVICES (OPC),SLZ,,CAGAYAN,,,MSP,GALLOPVISION SERVICES INC,
CAVITE,FASTEL SERVICES INC,SLZ,,ISABELA,,,MSP,GALLOPVISION SERVICES INC,
CAVITE,MOUNTAINTOP CABLE TV NETWORKS,SLZ,,NUEVA VIZCAYA,,,MSP,GALLOPVISION SERVICES INC,
LAGUNA,LAKE COMMUNITY CABLE TV MULTI PURPOSE COOP,SLZ,,QUIRINO,,,MSP,GALLOPVISION SERVICES INC,
QUEZON,LUCBITZ INTERNET COMMUNICATIONS SERVICES,SLZ,,LA UNION,,,MSP,"NORTHWAVE ADMINISTRATIVE SUPPORT SERVICES
(PC4ME)",
QUEZON,FOUR SRD CATV MANAGEMENT SERVICE,SLZ,,PANGASINAN,,,MSP,NORTHERLY DIGITAL SERVICES INC. (NDSI),
ORIENTAL MINDORO,MYFI NETWORK INC.,SLZ,,AURORA,,,MSP,"INTERLINK CABLE TELEVISION, INC.",
LAGUNA,OLYMPIAN ICT SOLUTIONS INC,SLZ,,BULACAN,,,MSP,MS CONVERGENCE CORPORATION,
